bike_name,price,city
Honda CBR 250R,68000.0,Delhi
Bajaj Pulsar RS200,80000.0,Bangalore
Royal Enfield Classic 350cc,135000.0,Bangalore
Bajaj Pulsar 150cc,11100.0,Pune
Benelli TNT 600i,480000.0,Mumbai
Suzuki Gixxer 150cc SP Rear Disc,65000.0,Thrissur
Yamaha FZ S V 2.0 150cc,60000.0,Bangalore
Honda CBR 150R 150cc,80000.0,Bangalore
Hero Splendor Plus Self Alloy 100cc,46000.0,Delhi
Royal Enfield Classic 500cc,95000.0,Bangalore
Hyosung GT650R,400000.0,Delhi
Bajaj V15 150cc,55000.0,Bangalore
Yamaha YZF-R15 S 150cc,63000.0,Delhi
Bajaj V15 150cc,51000.0,Faridabad
TVS Apache RTR 160 4V Disc,69900.0,Delhi
Bajaj Pulsar RS200 ABS,125000.0,Gorakhpur
Benelli TNT 300,210000.0,Kolkata
Honda CB ShineSP 125cc,35900.0,Delhi
Honda CBR 250R,67000.0,Delhi
Hero Passion Pro 100cc,29339.0,Ernakulam
Hero Splendor Plus 100cc,19695.0,Ernakulam
Hero Splendor iSmart Plus IBS 110cc,48672.0,Ernakulam
Honda CBR 150R 150cc,40000.0,Mumbai
Yamaha YZF R6 600cc,500000.0,Bangalore
Ducati 1299 Superleggera,800000.0,Mumbai
Royal Enfield Himalayan 410cc,110000.0,Bangalore
Royal Enfield Classic 350cc,92500.0,Delhi
Bajaj Pulsar NS200,57000.0,Bangalore
Royal Enfield Electra 350cc,72500.0,Delhi
KTM Duke 200cc,68000.0,Delhi
TVS Phoenix Disc 125cc,21500.0,Barasat
TVS Apache RTR 160cc,40000.0,Delhi
Royal Enfield Classic 350cc,91000.0,Delhi
Harley-Davidson Street 750,300000.0,Ghaziabad
Suzuki Gixxer SF 150cc,47000.0,Jaipur
Suzuki Gixxer 150cc,53000.0,Bangalore
Suzuki Gixxer 150cc,51000.0,Bangalore
Bajaj Pulsar 220F,48000.0,Bangalore
Bajaj Pulsar 220cc,55000.0,Bangalore
Royal Enfield Himalayan 410cc Fi ABS,173300.0,Vadodara
Royal Enfield Bullet Electra 350cc,77000.0,Delhi
Bajaj Pulsar NS200,115000.0,Bangalore
Bajaj Discover 150cc,36000.0,Hyderabad
Bajaj Avenger Street 220,72000.0,Hyderabad
Royal Enfield Standard 350cc,115000.0,Hyderabad
Honda CB Shine 125cc Disc,65000.0,Mumbai
Honda CB Unicorn ABS 150cc,99000.0,Mumbai
Yamaha YZF-R15 2.0 150cc,68500.0,Delhi
Yamaha YZF-R15 V3 150cc,140000.0,Delhi
KTM Duke 200cc,130000.0,Delhi
Bajaj Pulsar NS 200,46000.0,Delhi
Hero Super Splendor 125cc,30000.0,Delhi
Bajaj Dominar 400,116000.0,Delhi
Royal Enfield Classic 350cc,130000.0,Delhi
Royal Enfield Classic 350cc,98000.0,Delhi
Royal Enfield Classic 350cc,85000.0,Delhi
Royal Enfield Himalayan 410cc,110000.0,Bangalore
Royal Enfield Himalayan 410cc Fi ABS,173300.0,Vadodara
Bajaj V15 150cc,50000.0,Delhi
Royal Enfield Thunderbird 350cc,100000.0,Bangalore
Royal Enfield Thunderbird 350cc,66000.0,Delhi
Royal Enfield Bullet Electra 350cc,77000.0,Delhi
Royal Enfield Classic 350cc,92500.0,Delhi
Bajaj Pulsar NS200,57000.0,Bangalore
Royal Enfield Electra 350cc,72500.0,Delhi
Honda X-Blade 160cc,80000.0,Kolkata
Royal Enfield Classic 350cc,123600.0,Jaipur
Suzuki Hayabusa 1300cc,950000.0,Chennai
Royal Enfield Classic 350cc,107000.0,Ahmedabad
Ducati Monster 821 Dark,600000.0,Bangalore
Yamaha FZ S V 2.0 150cc Rear Disc,80000.0,Delhi
Suzuki Gixxer SF 150cc Special MOTOGP Edition Rear Disc,75000.0,Bhubaneshwar
Hero Super Splendor 125cc,43778.0,Ernakulam
KTM RC 200cc,118000.0,Delhi
Yamaha FZ V 2.0 150cc,68000.0,Bangalore
Bajaj Discover 125ST,27000.0,Bangalore
Hero Splendor Plus Kick Alloy 100cc,48500.0,Delhi
Hero Karizma 223cc,15000.0,Delhi
KTM Duke 200cc,95000.0,Navi Mumbai
KTM Duke 200cc,145000.0,Amritsar
Yamaha FZs 150cc,62000.0,Delhi
Hero Splendor 100cc,25000.0,Hyderabad
Ducati 1198 SP 1198cc,700000.0,Ahmedabad
Royal Enfield Bullet 500cc,160000.0,Bangalore
Bajaj Avenger Street 220,47500.0,Mumbai
Yamaha Fazer 150cc,21000.0,Bagalkot
Yamaha Gladiator 125cc,18000.0,Bhopal
Hero Karizma R 223cc,36000.0,Bangalore
Yamaha FZ 150cc,52000.0,Bangalore
Harley-Davidson Iron 883,435000.0,Jaipur
TVS Apache RTR 200 4V Fi,68000.0,Bangalore
Bajaj Pulsar 220cc,80000.0,Pune
Royal Enfield Classic Desert Storm 500cc,110800.0,Mumbai
TVS Apache RTR 160 4V DISC ABS BS6,85000.0,Hyderabad
Royal Enfield Electra 350cc,145000.0,Bangalore
Bajaj Dominar 400 ABS,145000.0,Bangalore
Royal Enfield Classic Gunmetal Grey 350cc,149000.0,Mumbai
Hero HF Deluxe i3s iBS 100cc,60000.0,Mumbai
Royal Enfield Classic 350cc,140000.0,Mumbai
KTM Duke 200cc,85000.0,Mumbai
Bajaj Pulsar 220cc,86000.0,Mumbai
